MicroHit	TaxHit	HitID	Class
Veillonella nakazawae	Veillonella nakazawae	MRH748	bacteria
Veillonella rodentium	Veillonella rodentium	MRH749	bacteria
Veillonella atypica	Veillonella atypica	MRH750	bacteria
Xanthomonas	Xanthomonas	MRH751	bacteria
Gemella sanguinis	Gemella sanguinis	MRH752	bacteria
Kingella	Kingella	MRH753	bacteria
[Candida] intermedia	[Candida] intermedia	MRH754	fungus
Clavispora lusitaniae	Clavispora lusitaniae	MRH755	fungus
Faecalibacterium	Faecalibacterium	MRH756	bacteria
Faecalibacterium prausnitzii	Faecalibacterium prausnitzii	MRH757	bacteria
Pseudomonas viridiflava	Pseudomonas viridiflava	MRH758	bacteria
Pseudomonas entomophila	Pseudomonas entomophila	MRH759	bacteria
Pseudomonas chlororaphis	Pseudomonas chlororaphis	MRH760	bacteria
Pseudomonas fulva	Pseudomonas fulva	MRH761	bacteria
Didymella	Didymella	MRH762	fungus
Gordonia sp. JH63	Gordonia sp. JH63	MRH763	bacteria
Actinomyces viscosus	Actinomyces viscosus	MRH764	bacteria
Brochothrix	Brochothrix	MRH765	bacteria
Brochothrix thermosphacta	Brochothrix thermosphacta	MRH766	bacteria
Prevotella oris	Prevotella oris	MRH767	bacteria
Prevotella intermedia	Prevotella intermedia	MRH768	bacteria
Carnobacterium maltaromaticum	Carnobacterium maltaromaticum	MRH769	bacteria
Leuconostoc citreum	Leuconostoc citreum	MRH770	bacteria
Anaerococcus prevotii	Anaerococcus prevotii	MRH771	bacteria
Talaromyces	Talaromyces	MRH772	fungus
Bradyrhizobium sp. CCBAU 51753	Bradyrhizobium sp. CCBAU 51753	MRH773	bacteria
Bradyrhizobium sp. ORS 285	Bradyrhizobium sp. ORS 285	MRH774	bacteria
Peptoniphilus harei	Peptoniphilus harei	MRH775	bacteria
Delftia sp. HK171	Delftia sp. HK171	MRH776	bacteria
Bacillus thuringiensis	Bacillus thuringiensis	MRH777	bacteria
Enterococcus casseliflavus	Enterococcus casseliflavus	MRH778	bacteria
Phyllobacterium myrsinacearum	Phyllobacterium myrsinacearum	MRH779	bacteria
Lachnoanaerobaculum	Lachnoanaerobaculum	MRH780	bacteria
Cordyceps	Cordyceps	MRH781	fungus
Cordyceps fumosorosea	Cordyceps fumosorosea	MRH782	fungus
Bacteroides cellulosilyticus	Bacteroides cellulosilyticus	MRH783	bacteria
Sphingomonas sp. NIC1	Sphingomonas sp. NIC1	MRH784	bacteria
Chryseobacterium manosquense	Chryseobacterium manosquense	MRH785	bacteria
Chryseobacterium shandongense	Chryseobacterium shandongense	MRH786	bacteria
Chryseobacterium indologenes	Chryseobacterium indologenes	MRH787	bacteria
Diaphorobacter sp. JS3050	Diaphorobacter sp. JS3050	MRH788	bacteria
Rhodobacter sphaeroides	Cereibacter sphaeroides	MRH789	bacteria
Pannonibacter	Pannonibacter	MRH790	bacteria
Pannonibacter phragmitetus	Pannonibacter phragmitetus	MRH791	bacteria
Neomicrococcus	Neomicrococcus	MRH792	bacteria
Neomicrococcus aestuarii	Neomicrococcus aestuarii	MRH793	bacteria
Aggregatibacter	Aggregatibacter	MRH794	bacteria
Aggregatibacter aphrophilus	Aggregatibacter aphrophilus	MRH795	bacteria
Brevundimonas mediterranea	Brevundimonas mediterranea	MRH796	bacteria
Brevundimonas sp. Bb-A	Brevundimonas sp. Bb-A	MRH797	bacteria
Brevundimonas sp.	Brevundimonas sp.	MRH798	bacteria
Niveispirillum	Niveispirillum	MRH799	bacteria
Microbacterium sp. Y-01	Microbacterium sp. Y-01	MRH800	bacteria
Pseudoxanthomonas kaohsiungensis	Pseudoxanthomonas kaohsiungensis	MRH801	bacteria
Phycicoccus	Phycicoccus	MRH802	bacteria
Mycolicibacterium tokaiense	Mycolicibacterium tokaiense	MRH803	bacteria
Lysobacter	Lysobacter	MRH804	bacteria
Lysobacter oculi	Lysobacter oculi	MRH805	bacteria
Acidovorax ebreus	[Acidovorax] ebreus	MRH806	bacteria
Acidovorax carolinensis	Acidovorax carolinensis	MRH807	bacteria
Acidovorax sp. JS42	Acidovorax sp. JS42	MRH808	bacteria
Sanguibacter	Sanguibacter	MRH809	bacteria
Pigmentiphaga	Pigmentiphaga	MRH810	bacteria
Mycobacteroides immunogenum	Mycobacteroides immunogenum	MRH811	bacteria
Klebsiella aerogenes	Klebsiella aerogenes	MRH812	bacteria
Rahnella	Rahnella	MRH813	bacteria
Enterobacter ludwigii	Enterobacter ludwigii	MRH814	bacteria
Cupriavidus pauculus	Cupriavidus pauculus	MRH815	bacteria
Methyloversatilis	Methyloversatilis	MRH816	bacteria
Methyloversatilis sp. RAC08	Methyloversatilis sp. RAC08	MRH817	bacteria
Azotobacter chroococcum	Azotobacter chroococcum	MRH818	bacteria
Blastococcus saxobsidens	Blastococcus saxobsidens	MRH819	bacteria
Luteimonas sp. YGD11-2	Luteimonas sp. YGD11-2	MRH820	bacteria
Debaryomyces	Debaryomyces	MRH821	fungus
Debaryomyces hansenii	Debaryomyces hansenii	MRH822	fungus
Tsukamurella	Tsukamurella	MRH823	bacteria
Tsukamurella tyrosinosolvens	Tsukamurella tyrosinosolvens	MRH824	bacteria
Bordetella parapertussis	Bordetella parapertussis	MRH825	bacteria
Alicycliphilus	Alicycliphilus	MRH826	bacteria
Rubrivivax	Rubrivivax	MRH827	bacteria
Streptococcus intermedius	Streptococcus intermedius	MRH828	bacteria
Micrococcus sp. MG-2010-D12	Micrococcus sp. MG-2010-D12	MRH829	bacteria
Rhodococcus sp. PBTS 2	Rhodococcus fascians	MRH151	bacteria
Rhodococcus sp. AQ5-07	Rhodococcus sp. AQ5-07	MRH830	bacteria
