Genus,Species,Classification
Naegleria,Protist,Uniceullular
Neoporphyra,Algae,Uniceullular
Ostreococcus,GreenAlgae,Uniceullular
Paramecium,Ciliate,Uniceullular
Phaeodactylum,MicroAlgae,Uniceullular
Pyropia,RedAlgae,Uniceullular
Salpingoeca,Choanaflagellate,Uniceullular
Saprolegnia,CottonMould,Uniceullular
Tetrahymena,Ciliate,Uniceullular
Parasitidae,Mite,Macroparasite
Phoridae,Fly,Insect
Saccharomycetaceae,Fungus,Fungus
